category_id,cart_count,remove_count,purchase_count,cart_remove_rate,purchase_rate_from_cart
1487580005998265217,7,59,3,8.428571428571429,0.42857142857142855
1547480590851244887,42,84,4,2.0,0.09523809523809523
1791442703716712702,4,7,0,1.75,0.0
1487580011828347011,7,10,0,1.4285714285714286,0.0
1487580005343953762,382,461,57,1.206806282722513,0.14921465968586387
1487580005897601916,3908,4369,972,1.1179631525076765,0.24872057318321392
1487580013933887709,20,22,4,1.1,0.2
1487580005067129686,10745,11124,2273,1.0352722196370405,0.21154025127966497
1487580008128971748,38,39,5,1.0263157894736843,0.13157894736842105
1487580010360340546,45,46,6,1.0222222222222221,0.13333333333333333
