category_id,count
1487580007675986893,10994
1487580005595612013,10832
1487580005671109489,10800
1487580005092295511,10383
1487580006317032337,10129
1487580007675986893,13293
1487580006317032337,9632
1487580005092295511,8536
1487580005595612013,7339
1602943681873052386,7093
1487580007675986893,14477
1487580006317032337,10407
1487580005671109489,9895
1487580005092295511,7885
1487580009286598681,6158
1487580007675986893,25328
1487580005595612013,13730
1487580006317032337,12530
1487580005092295511,11340
1602943681873052386,10067
1487580007675986893,16024
1487580006317032337,7841
1487580005595612013,6954
1487580005092295511,6696
1487580005671109489,6030
